slug,name
aromatherapy,Aromatherapy
arthritis-joint-support,Arthritis & Joint Support
baked-goods,Baked Goods
bath-bombs,Bath Bombs
beverages,Beverages
blunts,Blunts
bulk-distillate,Bulk Distillate
bulk-flower,Bulk Flower
capsules-supplements,Capsules / Supplements
cbd-balms,CBD Balms
cbd-bath-bombs,CBD Bath Bombs
cbd-beverages,CBD Beverages
cbd-capsules,CBD Capsules
cbd-coffee-tea,CBD Coffee & Tea
cbd-cooking-oils,CBD Cooking Oils
cbd-creams,CBD Creams
cbd-edibles-wellness-,CBD Edibles (Wellness)
cbd-energy-drinks,CBD Energy Drinks
cbd-face-oils,CBD Face Oils
cbd-gummies-wellness-,CBD Gummies (Wellness)
cbd-isolate-bulk-,CBD Isolate (Bulk)
cbd-lotions,CBD Lotions
cbd-powders,CBD Powders
cbd-roll-ons,CBD Roll-Ons
cbd-seltzers,CBD Seltzers
cbd-serums,CBD Serums
cbd-skincare,CBD Skincare
cbd-soaps,CBD Soaps
cbd-softgels,CBD Softgels
cbd-sunscreen,CBD Sunscreen
cbg-isolate-bulk-,CBG Isolate (Bulk)
cbg-supplements,CBG Supplements
cbn-sleep-supplements,CBN Sleep Supplements
chocolates,Chocolates
concentrates,Concentrates (standalone)
concentrates,Concentrates (under Consumables)
consumables,Consumables
cosmetics,Cosmetics
delta-8,Delta-8
delta-9-hemp-derived,Delta-9 Hemp Derived
disposable-vapes,Disposable Vapes
distillate,Distillate
distillate-bulk-,Distillate (Bulk)
edibles,Edibles (standalone)
edibles,Edibles (under Consumables)
flower,Flower
flower-prerolls,Flower / Pre-rolls
gummies,Gummies
hard-candy,Hard Candy
hash,Hash
hemp-beverages,Hemp Beverages
hemp-chocolate-non-intoxicating-,Hemp Chocolate (Non-Intoxicating)
hemp-extracts-bulk-,Hemp Extracts (Bulk)
hemp-flour,Hemp Flour
hemp-flower-bulk-,Hemp Flower (Bulk)
hemp-granola,Hemp Granola
hemp-hearts,Hemp Hearts
hemp-honey,Hemp Honey
hemp-oil-food-grade-,Hemp Oil (Food Grade)
hemp-protein,Hemp Protein
hemp-seed-foods,Hemp Seed Foods
hemp-snacks,Hemp Snacks
hhc,HHC
infused-pre-rolls,Infused Pre-Rolls
kief,Kief
live-resin,Live Resin
live-rosin-gummies,Live Rosin Gummies
lotions-creams,Lotions & Creams
lubricants-hemp-cbd-,Lubricants (Hemp/CBD)
massage-oils,Massage Oils
mints,Mints
moonrocks,Moonrocks
muscle-recovery,Muscle & Recovery
personal-wellness,Personal Wellness
pet-cbd,Pet CBD
pet-consumables,Pet Consumables
pet-tinctures,Pet Tinctures
pet-topicals,Pet Topicals
pet-treats,Pet Treats
pre-rolls,Pre-Rolls
rosin,Rosin
salves-balms,Salves/Balms
shatter,Shatter
sleep-relaxation,Sleep & Relaxation
smokable-hemp-cbd-,Smokable Hemp (CBD)
smokable-hemp-cbg-,Smokable Hemp (CBG)
smokable-hemp-cbn-,Smokable Hemp (CBN)
soaps,Soaps
stress-support,Stress Support
syrups,Syrups
terpenes-bulk-,Terpenes (Bulk)
thca,THCA
thcp,THCP
tinctures,Tinctures (standalone)
tinctures,Tinctures (under Consumables)
tinctures-recreational-,Tinctures (Recreational)
tinctures-wellness-,Tinctures (Wellness)
topicals,Topicals
topicals-body,Topicals & Body
vapes,Vapes (standalone)
vapes,Vapes (under Consumables)
vapes-cartridges,Vapes & Cartridges
wax,Wax
